name,node_id,osm_node_id,railway,level_crossing,access,description,x_coord,y_coord,geometry
,208,6243807795,,,,,104.1337219,30.6229804,POINT (104.1337219 30.6229804)
,209,6243807796,,,,,104.1340395,30.6235591,POINT (104.1340395 30.6235591)
,210,6243807797,,,,,104.1342963,30.6240192,POINT (104.1342963 30.6240192)
,211,6243807798,,,,,104.1344878,30.6243668,POINT (104.1344878 30.6243668)
,212,6243807799,,,,,104.1347119,30.6247687,POINT (104.1347119 30.6247687)
,213,6243807800,,,,,104.1350808,30.6254271,POINT (104.1350808 30.6254271)
,214,6243807801,,,,,104.1349416,30.6251787,POINT (104.1349416 30.6251787)
,215,6243807815,,,,,104.1354747,30.6263441,POINT (104.1354747 30.6263441)
,216,6243807816,,,,,104.1356164,30.6265774,POINT (104.1356164 30.6265774)
,217,6243807880,,,,,104.1445366,30.6431641,POINT (104.1445366 30.6431641)
,218,6243807881,,,,,104.1441242,30.6421337,POINT (104.1441242 30.6421337)
,219,6243807882,,,,,104.143943,30.6416683,POINT (104.143943 30.6416683)
,220,6243807883,,,,,104.1446453,30.6432957,POINT (104.1446453 30.6432957)
,221,6243807884,,,,,104.1443139,30.6424884,POINT (104.1443139 30.6424884)
,222,6243807885,,,,,104.1438532,30.6413091,POINT (104.1438532 30.6413091)
,223,6243807886,,,,,104.143683,30.6410039,POINT (104.143683 30.6410039)
,224,6243807887,,,,,104.1434046,30.6403012,POINT (104.1434046 30.6403012)
,225,6243807888,,,,,104.1434193,30.640208,POINT (104.1434193 30.640208)
,226,6243807889,,,,,104.1429775,30.6390693,POINT (104.1429775 30.6390693)
,227,6243807890,,,,,104.1425919,30.6380919,POINT (104.1425919 30.6380919)
,228,6243807891,,,,,104.1421779,30.6370605,POINT (104.1421779 30.6370605)
,229,6243807892,,,,,104.1430579,30.6394334,POINT (104.1430579 30.6394334)
,230,6243807893,,,,,104.1427874,30.6387442,POINT (104.1427874 30.6387442)
,231,6243807894,,,,,104.1423147,30.6375466,POINT (104.1423147 30.6375466)
,232,6243807895,,,,,104.1419207,30.6365568,POINT (104.1419207 30.6365568)
,233,6243807896,,,,,104.1416239,30.6357885,POINT (104.1416239 30.6357885)
,234,6243807897,,,,,104.1413771,30.6351715,POINT (104.1413771 30.6351715)
,235,6243807898,,,,,104.1410645,30.6343987,POINT (104.1410645 30.6343987)
,236,6243807899,,,,,104.1411197,30.6343698,POINT (104.1411197 30.6343698)
,237,6243807900,,,,,104.1385647,30.6289721,POINT (104.1385647 30.6289721)
,238,6243807901,,,,,104.1382369,30.6282909,POINT (104.1382369 30.6282909)
,239,6243807902,,,,,104.1376899,30.6272411,POINT (104.1376899 30.6272411)
,240,6243807903,,,,,104.1373276,30.6267129,POINT (104.1373276 30.6267129)
,241,6243807904,,,,,104.1359578,30.6248815,POINT (104.1359578 30.6248815)
,242,6243807905,,,,,104.1406881,30.6335872,POINT (104.1406881 30.6335872)
,243,6243807906,,,,,104.1403954,30.6329813,POINT (104.1403954 30.6329813)
,244,6243807907,,,,,104.1385765,30.629145,POINT (104.1385765 30.629145)
,245,6243807908,,,,,104.1379436,30.6278207,POINT (104.1379436 30.6278207)
,246,6243807909,,,,,104.1377308,30.6274207,POINT (104.1377308 30.6274207)
,247,6243807910,,,,,104.137589,30.6271901,POINT (104.137589 30.6271901)
,248,6243807911,,,,,104.1374442,30.6269549,POINT (104.1374442 30.6269549)
,249,6243807912,,,,,104.1372156,30.6266362,POINT (104.1372156 30.6266362)
,250,6243807913,,,,,104.1368977,30.6262092,POINT (104.1368977 30.6262092)
,251,6243807914,,,,,104.1366577,30.6259043,POINT (104.1366577 30.6259043)
,252,6243807915,,,,,104.1362873,30.6254045,POINT (104.1362873 30.6254045)
,253,6243807916,,,,,104.1360586,30.6251055,POINT (104.1360586 30.6251055)
,254,6243807917,,,,,104.1354116,30.6242575,POINT (104.1354116 30.6242575)
,255,6243807918,,,,,104.1354177,30.6241804,POINT (104.1354177 30.6241804)
,256,6243807919,,,,,104.1347552,30.6232896,POINT (104.1347552 30.6232896)
,257,6243807920,,,,,104.1345798,30.6231489,POINT (104.1345798 30.6231489)
,258,6243807921,,,,,104.1341689,30.6225003,POINT (104.1341689 30.6225003)
,259,6243807924,,,,,104.1326024,30.6204183,POINT (104.1326024 30.6204183)
,260,6243807925,,,,,104.1344236,30.6229358,POINT (104.1344236 30.6229358)
,261,6243807926,,,,,104.1342459,30.6226998,POINT (104.1342459 30.6226998)
,262,6243807927,,,,,104.1339188,30.6222465,POINT (104.1339188 30.6222465)
,263,6243807928,,,,,104.1333245,30.6214622,POINT (104.1333245 30.6214622)
,264,6243807929,,,,,104.1326294,30.6205453,POINT (104.1326294 30.6205453)
,265,6243807930,,,,,104.1330891,30.6210674,POINT (104.1330891 30.6210674)
,266,6243807931,,,,,104.1320875,30.6197405,POINT (104.1320875 30.6197405)
,267,6243807932,,,,,104.1397246,30.631413,POINT (104.1397246 30.631413)
,268,6243807933,stop,,,,104.1394805,30.6310674,POINT (104.1394805 30.6310674)
,269,6243807934,,,,,104.132307,30.6199347,POINT (104.132307 30.6199347)
,270,6243807935,,,,,104.1327233,30.6205033,POINT (104.1327233 30.6205033)
,271,6243807936,,,,,104.133381,30.6213782,POINT (104.133381 30.6213782)
,272,6243807937,,,,,104.1344847,30.6228425,POINT (104.1344847 30.6228425)
,273,6243807938,,,,,104.1353111,30.6239462,POINT (104.1353111 30.6239462)
,274,6243807939,,,,,104.1360596,30.6249429,POINT (104.1360596 30.6249429)
,275,6243807940,,,,,104.1362671,30.6252186,POINT (104.1362671 30.6252186)
,276,6243807941,,,,,104.1364904,30.6255124,POINT (104.1364904 30.6255124)
,277,6243807942,,,,,104.1367005,30.6257587,POINT (104.1367005 30.6257587)
,278,6243807943,,,,,104.1370734,30.6261994,POINT (104.1370734 30.6261994)
,279,6243807944,,,,,104.1374464,30.6266718,POINT (104.1374464 30.6266718)
,280,6243807945,,,,,104.1376223,30.6269339,POINT (104.1376223 30.6269339)
,281,6243807946,,,,,104.1378351,30.6272503,POINT (104.1378351 30.6272503)
,282,6243807947,,,,,104.1379375,30.6274221,POINT (104.1379375 30.6274221)
,283,6243807948,,,,,104.1382763,30.628012,POINT (104.1382763 30.628012)
,284,6243807949,,,,,104.1381174,30.6277148,POINT (104.1381174 30.6277148)
,285,6243807950,,,,,104.1384234,30.6283125,POINT (104.1384234 30.6283125)
,286,6243807951,,,,,104.1387044,30.6288933,POINT (104.1387044 30.6288933)
,287,6243807952,,,,,104.1406164,30.632916,POINT (104.1406164 30.632916)
,288,6243807953,,,,,104.1408869,30.6334787,POINT (104.1408869 30.6334787)
,289,6243807954,,,,,104.1410445,30.633829,POINT (104.1410445 30.633829)
,290,6243807955,,,,,104.1411653,30.6341092,POINT (104.1411653 30.6341092)
,291,6243807956,,,,,104.1412677,30.6343804,POINT (104.1412677 30.6343804)
,292,6243807957,,,,,104.1414122,30.6347487,POINT (104.1414122 30.6347487)
,293,6243807958,,,,,104.1416065,30.6352978,POINT (104.1416065 30.6352978)
,294,6243807959,,,,,104.1417851,30.6358583,POINT (104.1417851 30.6358583)
,295,6243807960,,,,,104.1419217,30.6362537,POINT (104.1419217 30.6362537)
,296,6243807961,,,,,104.1420399,30.6365769,POINT (104.1420399 30.6365769)
,297,6243807962,,,,,104.1421581,30.6368661,POINT (104.1421581 30.6368661)
,298,6243807963,,,,,104.1422894,30.6372074,POINT (104.1422894 30.6372074)
,299,6243807964,,,,,104.1426124,30.6380163,POINT (104.1426124 30.6380163)
,300,6243808037,,,,,104.1447829,30.6437503,POINT (104.1447829 30.6437503)
,301,6243808038,stop,,,,104.1397068,30.630987,POINT (104.1397068 30.630987)
,302,6243808190,,,,,104.1425144,30.6377707,POINT (104.1425144 30.6377707)
,303,6243808191,,,,,104.1423753,30.6373539,POINT (104.1423753 30.6373539)
