name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,11397,879028828,,yes,,,"POLYGON ((106.4960459 29.780182, 106.4961768 29.7801268, 106.4961504 29.7800798, 106.4960196 29.780135, 106.4960459 29.780182))",POINT (106.4960982 29.7801309),81.3,875.5
,11398,879028829,,yes,,,"POLYGON ((106.4961415 29.7802687, 106.4961787 29.7802601, 106.4961478 29.7801587, 106.4961106 29.7801672, 106.4960459 29.780182, 106.4960113 29.7801899, 106.496058 29.7803436, 106.4961573 29.7803209, 106.4961415 29.7802687))",POINT (106.4960963 29.7802471),218.8,2354.7
,11399,879028830,,yes,,,"POLYGON ((106.4960819 29.7804221, 106.4961573 29.7803209, 106.496058 29.7803436, 106.4960819 29.7804221))",POINT (106.4960991 29.7803622),44.6,480.4
,11400,879028831,,yes,,,"POLYGON ((106.4960004 29.7801219, 106.4961559 29.7800511, 106.4960743 29.7799161, 106.4959188 29.7799869, 106.4960004 29.7801219))",POINT (106.4960373 29.780019),287.8,3097.4
,11401,879028834,,yes,,,"POLYGON ((106.4959966 29.779819, 106.4959092 29.7798616, 106.4958752 29.7798091, 106.4958111 29.7798404, 106.4958451 29.7798929, 106.4958847 29.779954, 106.4959488 29.7799227, 106.4960361 29.77988, 106.4959966 29.779819))",POINT (106.4959191 29.779877),178,1916.4
,11402,879028835,,yes,,,"POLYGON ((106.4961515 29.7798571, 106.4960955 29.7797707, 106.4959966 29.779819, 106.4960361 29.77988, 106.4960526 29.7799054, 106.4960914 29.7798865, 106.4961515 29.7798571))",POINT (106.496074 29.7798381),119.5,1286.1
,11403,879028836,,yes,,,"POLYGON ((106.4962649 29.779974, 106.4961801 29.7798432, 106.4961515 29.7798571, 106.4960914 29.7798865, 106.4961762 29.7800173, 106.4962649 29.779974))",POINT (106.4961781 29.7799302),163.9,1764.2
,11404,879028837,,yes,,,"POLYGON ((106.4962564 29.7801515, 106.4963502 29.7801057, 106.4962649 29.779974, 106.4961762 29.7800173, 106.4961711 29.7800198, 106.4962564 29.7801515))",POINT (106.4962606 29.7800627),174.3,1876.1
,11405,879028838,,yes,,,"POLYGON ((106.4966489 29.7799482, 106.4965976 29.7798865, 106.4965797 29.779865, 106.4964992 29.7799155, 106.496517 29.779937, 106.4964883 29.779955, 106.4965396 29.7800167, 106.4965684 29.7799987, 106.4966489 29.7799482))",POINT (106.4965645 29.7799413),137.9,1484.8
,11406,879028839,,yes,,,"POLYGON ((106.4963914 29.7800157, 106.4964883 29.779955, 106.496517 29.779937, 106.4964992 29.7799155, 106.4964867 29.7799005, 106.4963611 29.7799792, 106.4963914 29.7800157))",POINT (106.4964391 29.7799581),74.7,804.6
